Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Lets Fight Ghost,lets fight ghost,"Crime, Drama, Fantasy, Horror, Romance","Swedish, Spanish",Series,Thailand,< 30 minutes,7.9,74,57,"$2,122,065",12-Dec-08,2021-03-04,205926
HOW TO BUILD A GIRL,how to build a girl,Comedy,English,Movie,Canada,1-2 hour,5.8,1,,"$70,632",08-May-20,2021-03-04,2838
Centigrade,centigrade,"Drama, Thriller",English,Movie,Canada,1-2 hour,4.3,,,"$16,263",28-Aug-20,2021-03-04,1720
ANNE+,anne+,Drama,Turkish,Series,"Belgium,Netherlands",< 30 minutes,6.5,1,,,01-Oct-16,2021-03-04,1147
Moxie,moxie,"Animation, Short, Drama",English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",1-2 hour,6.3,,4,,22-Sep-11,2021-03-04,63
The Con-Heartist,the con-heartist,"Comedy, Romance",Thai,Movie,Thailand,> 2 hrs,7.4,,,,03-Dec-20,2021-03-03,131
Gleboka woda,gleboka woda,Drama,Polish,Series,Poland,< 30 minutes,7.5,2,4,,14-Jun-11,2021-03-03,47
Instynkt,instynkt,Crime,Polish,Series,Poland,< 30 minutes,3.9,,,,03-Mar-11,2021-03-03,107
Only a Mother,only a mother,Drama,Swedish,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",1-2 hour,6.7,2,1,,31-Oct-49,2021-03-03,88
Snowroller,snowroller,Comedy,"Swedish, English, German, Norwegian",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,6.6,,,,04-Oct-85,2021-03-03,5926
Sunes Summer,sunes summer,"Comedy, Family, Fantasy",Swedish,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,5.5,,7,,30-Nov-18,2021-03-03,560
The Invisible,the invisible,"Crime, Drama, Fantasy, Mystery, Thriller",English,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,6.2,,1,"$20,578,909",27-Apr-07,2021-03-03,34738
The Simple Minded Murderer,the simple minded murderer,Drama,"Scanian, Swedish",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,7.6,7,2,,01-Sep-85,2021-03-03,2870
The Stig-Helmer Story,the stig-helmer story,"Comedy, Drama","Swedish, English",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,4.5,,1,,25-Dec-11,2021-03-03,1666
To Kill a Child,to kill a child,"Short, Drama",Spanish,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",< 30 minutes,7.7,2,5,,07-Feb-11,2021-03-03,78
Joker,joker,"Crime, Drama, Thriller",English,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,8.4,112,228,"$335,451,311",04-Oct-19,2021-03-03,951938
I,i,"Action, Adventure, Fantasy, Sci-Fi","English, Sanskrit",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,6.5,26,69,"$474,544,677",19-May-99,2021-03-03,733336
Harrys Daughters,harrys daughters,"Adventure, Drama, Fantasy, Mystery",English,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,8.1,46,94,"$381,409,310",15-Jul-11,2021-03-03,766594
